c++程序设计教程（通用版）（第三版） 钱能著 978-7-3025-2126-6 TP313
海斯总统传 (美)拉塞尔·赫尔曼·康维尔著 978-7-5075-5136-5 K837
滑铁卢战役 (美)约翰·科德曼·罗普斯著 978-7-5075-5139-6 E194
玫瑰战争、亨利七世与都铎王朝的兴起 (英)詹姆斯·盖尔纳德著 978-7-5075-5189-1 K835
太极真精神 任刚著 978-7-5080-9680-3 G852
中国会展产业年度报告 主编郭牧 978-7-5680-5846-9 G245
国际传播的理论、方法与展望 徐明华著 978-7-5680-5688-5 G206
隋唐五代两宋安徽州县官员辑汇 董明著 978-7-5461-8511-8 K827=2
遁 金理斯著 978-7-5461-8485-2 I247
近代图书馆与地方文献发展研究 江山著 978-7-5461-8408-1 G259
金聲集 (明)金聲撰 978-7-5461-8162-2 I214
印记 王晓东主编 978-7-5461-8480-7 G127
失而复得 杨立新著 978-7-5461-8475-3 R743
新理性精神与当代文论建设 钱中文著 978-7-5461-6677-3 I206
笑遨史海 余志森著 978-7-5461-8137-0 K107
陈崇武先生文萃 陈崇武著 978-7-5461-8190-5 K565
隋唐五代两宋安徽州县官员辑汇 董明编著 978-7-5461-8504-0 K827=2
比梨花白 吴玲著 978-7-5461-8263-6 I267
用户参与 吴永萌著 978-7-111-64416-3 TP311
航空连接管一体成形技术 徐雪峰等著 978-7-111-64168-1 TG301
电气控制及PLC技术 主编王欣 978-7-111-63868-1 TM571
特称描述语理解机制的语用学研究 李娟著 978-7-5668-2702-9 H030
茉茉书房 茉琳著 978-7-5668-2737-1 I267
汕头纪事 (日)河西信著 978-7-5668-2765-4 K296
华南汕头商埠 (日)安重龟三郎著 978-7-5668-2761-6 K296
智慧的品牌 谷虹主编 978-7-5668-2785-2 F713
汕头领事馆辖区纪事 (日)打田庄六著 978-7-5668-2712-8 K296
京剧漫话 石呈祥著 978-7-5668-2699-2 J821-49
遗世独立 殷茜著 978-7-5713-0429-4 Q948
室内设计色彩搭配手册 梁景红著 978-7-5580-4536-3 TU238
艺术不止美 (荷)扬·劳伦斯·西思翎著 978-7-5580-6492-0 J110
两个人的哨所 《两个人的哨所》编写组编 978-7-5580-6354-1 D263
颜真卿《勤礼碑》基本笔画要诀 徐建明编著 978-7-5580-6160-8 J292
英国皇家海军战舰设计发展史 (英)大卫·K.布朗著 978-7-5594-4277-2 TJ8
今未花 钱旭桾著 978-7-5594-3984-0 I247
鹤山有功夫 中共鹤山市委宣传部编 978-7-5594-4043-3 K825
乡野之神 林森著 978-7-5594-3965-9 I267
正典的窄门 陈培浩著 978-7-5594-3964-2 I267
鹿枕心间好 金里著 978-7-5594-3772-3 I247
万国互联 张文宝著 978-7-5594-4024-2 I253
大汉兴亡四百年 李金海著 978-7-5594-3452-4 K234
语言信息控制论 张令千著 978-7-5108-8477-1 H0
汉语俗语与心理学的本土化 吕斐宜著 978-7-5108-8496-2 H136
聚焦“第一资源” 马光菊著 978-7-5108-8218-0 F272
基于旅游人类学角度的乡村旅游文化建设研究 叶俊著 978-7-5108-7826-8 F592
当代翻译美学的理论诠释与应用解读 宁建庚著 978-7-5108-8217-3 H059
两晋之际的琅邪士族研究 孙丽著 978-7-5108-8043-8 D691
民族声乐的文化流变与表演体系构建研究 苏娜著 978-7-5108-7930-2 J616
友善价值观研究 朱书刚著 978-7-5108-8286-9 D648
舞蹈“编”与“导”的专业素养研究 李虹庆著 978-7-5108-7913-5 J711
新中国成立初期干部思想政治教育研究 张玉刚著 978-7-5108-8060-5 D261
中国X射线光谱分析文献索引 邓赛文主编 978-7-03-062608-0 Z89:O
高超声速飞行器烧蚀防热理论与应用 国义军...[等]著 978-7-03-062043-9 V411
河南散存散见及新获汉唐碑志整理研究 陈朝云著 978-7-03-062596-0 K877
纪念石家河遗址考古发掘60年学术研讨会论文集 湖北省文物考古研究所编 978-7-03-062898-5 K878
中国主要城市浅层地热能调查评价 王贵玲等著 978-7-03-062984-5 TK529
聚才揽粹著新篇 肖小勇主编 978-7-03-062528-1 K870
营养物质对海湾生态环境影响的过程与机理 黄小平...等著 978-7-03-062324-9 X321
南土经略的转折 孙卓著 978-7-03-063333-0 K872
药物研发基本原理 原著BenjaminE.Blass 978-7-03-063005-6 TQ46
中国知识产权区域布局研究报告 《中国知识产权区域布局研究报告》编写组编 978-7-03-062560-1 D923
清代百件珍稀蒙古文档案整理研究 黑龙著 978-7-03-053927-4 K249
乡村振兴战略下的村庄规划研究 李建伟著 978-7-03-064100-7 TU982
中国市售水果蔬菜农药残留报告 庞国芳主编 978-7-03-063319-4 S481
中国市售水果蔬菜农药残留报告 庞国芳主编 978-7-03-063321-7 S481
考古开封 刘春迎著 978-7-03-061588-6 K872
周原青铜礼容器研究 裴书研著 978-7-03-064131-1 K876
排序与时序最优化引论 林诒勋著 978-7-03-063197-8 O224
中蒙俄经济走廊带矿产资源 周永恒...等编著 978-7-03-062902-9 P624
坡面细沟侵蚀过程定量研究 郑粉莉...[等]著 978-7-03-063976-9 S157
珠江三角洲环境有机污染物概论 曾永平等著 978-7-03-063724-6 X5
集合论导引 冯琦著 978-7-03-063622-5 O144
湖南考古辑刊 湖南省文物考古研究所编 978-7-03-063559-4 K872
中西太平洋冷海水金枪鱼延绳钓渔船捕捞技术研究 宋利明著 978-7-03-062629-5 U674
离子电推进物理 张天平...等编著 978-7-03-063231-9 V514
集合论导引 冯琦著 978-7-03-063621-8 O144
城市水环境绿色基础设施的运营养护 许申来...[等]编著 978-7-03-063206-7 TU99
胡杨和灰杨繁殖生物学 李志军等著 978-7-03-061532-9 S792
煤-焦-钢产业一体化协调发展 金智新...等著 978-7-03-063668-3 F426
替代计量学 杨思洛等著 978-7-03-062860-2 G250
Mathematica10.3与数字化大学物理 江俊勤著 978-7-03-063201-2 O4-39
全球价值链下我国专业化农业区域的集群机制与政策研究 税伟...[等]著 978-7-03-063253-1 F323
电阻层析成像有限元模型与图像重建算法 肖理庆著 978-7-03-061892-4 O441
基于语义资源和认知视角的隐喻识别与应用 张冬瑜著 978-7-03-063704-8 TP391
网壳结构在冲击荷载下的破坏机理 支旭东...[等]著 978-7-03-062906-7 TU356
轧钢过程数据驱动故障诊断与质量预报方法研究 石怀涛著 978-7-03-060102-5 TG333
新生代知识型员工反生产行为的影响机制与对策研究 刘文彬著 978-7-03-063264-7 F272
国家战略视角下江苏旅游产业发展研究 冯年华等著 978-7-03-063636-2 F592
当代教育的哲学省思 刘济良等著 978-7-03-063820-5 G40-02
职前教师的卓越之道 胡志金著 978-7-03-063216-6 G451
生命视域下教师教育研究 杜静等著 978-7-03-063835-9 G65
无线Mesh网络中负载均衡路由技术研究 刘春晓...[等]著 978-7-03-063012-4 TN92
国际河流水资源利用与管理 冯彦著 978-7-03-062194-8 TV213
生态文明建设的云南模式研究 周琼主编 978-7-03-062814-5 X321
创新型企业持续创新机遇的决策模式与机制研究 段云龙...[等]著 978-7-03-060110-0 F279
杓哇土族生计方式研究 田俊迁著 978-7-03-062849-7 K283
特种空间帆和电动力绳系推进技术 李永...[等]著 978-7-03-062731-5 V514
震灾视域下应急系统中的管理决策分析与模型应用 黄星著 978-7-03-062671-4 P315
大型工程项目四要素配置关系构建与集成管理研究 尤荻著 978-7-03-062618-9 TU990
开放式创新环境下战略性新兴产业创新能力研究 牟绍波著 978-7-03-063830-4 F269
声音的权威 方小莉著 978-7-03-062482-6 I712
内容开放式平台中的知识传播研究 陈则谦著 978-7-03-063693-5 G2
大学生心理健康教育与辅导 唐伶俐著 978-7-03-062010-1 G444
基础教育高位均衡发展的现状与策略 晋银峰著 978-7-03-063286-9 G639
城市垃圾治理中的公众参与研究 张莉萍著 978-7-03-063044-5 X799
学院治理 吉明明著 978-7-03-063089-6 G647
基于相关模型的保险风险理论及相关研究 彭江艳著 978-7-03-061122-2 F840
凸优化的理论和方法 杨庆之编著 978-7-03-063870-0 O174
城市河流生态系统健康及景观服务价值评价研究 李俊梅...[等]著 978-7-03-063202-9 X522
中国经典双语阅读 主编冯文坤 978-7-03-056297-5 H195
上海九段沙湿地保护管理的实践与探索 孙瑛湿地生态保护创新工作室编 978-7-03-062630-1 P942
风电并网对电力系统稳定性的影响与控制 和萍著 978-7-03-062752-0 TM712
川西高原公路隧道设计与施工技术指南 四川省公路规划勘察设计院有限公司主编 978-7-03-063266-1 U459
无线网络安全方法与技术研究 张辉著 978-7-03-058280-5 TN926
遗传学 唐蓓主编 978-7-03-062767-4 Q3
《论粮食税》《论我国革命》精学导读 王东著 978-7-03-063507-5 A821
《<政治经济学批判>导言》《<政治经济学批判>序言》精学导读 顾海良著 978-7-03-063497-9 A811
《共产主义运动中的“左派”幼稚病》精学导读 李健著 978-7-03-063506-8 A821
《反对本本主义》精学导读 陈培永著 978-7-03-063500-6 A841
《新民主主义论》精学导读 林绪武著 978-7-03-063498-6 A841
《镜花缘》赏读 谢普主编 978-7-5451-5282-1 I207
《红楼梦》阅读手册 于景祥著 978-7-5451-4638-7 I207
学校文化建设探微 张四明主编 978-7-5451-5315-6 G637-53
短线操盘实战技法 老牛著 978-7-5139-2618-8 F830
刀锋上的火焰 主编魏长健 978-7-305-08627-4 J227
元代书法家群体与复古观念研究 程渤著 978-7-305-22773-8 J292
中日动画艺术创作风格比较研究 殷俊著 978-7-305-08568-0 J954
文化旅游地特色文化景观的游客多维感知研究 颜丙金著 978-7-305-08956-5 F592
从招聘到离职 王旭，乐雯晴著 978-7-5164-2048-5 F272
税务实操管理与风险防控大全 王桦宇主编 978-7-5164-2065-2 F812
企业融资全解 韩中华著 978-7-5164-2049-2 F275
金融科技助力精准扶贫问题研究 郭晓蓓著 978-7-5164-2076-8 F832
基于市场化的人民币汇率失衡与股价波动研究 魏荣桓著 978-7-5164-2056-0 F832
制度、技术与国有企业改革 王曙光等著 978-7-5164-2036-2 F279
经理异质性对大股东掏空行为的影响研究 马超著 978-7-5164-2013-3 F830
董事会构成异质性与经济后果 王分棉著 978-7-5164-2070-6 F279
西藏乡村五十年社会变迁 方素梅主编 978-7-5201-2578-9 C912
中国残疾人事业发展报告 主编凌亢 978-7-5201-5832-9 D669
家具产业集群协同创新研究 张占贞著 978-7-5201-5059-0 F426
中国福利彩票公益发展报告 何辉主编 978-7-5201-5850-3 F832
中国互联网健康医疗发展报告 主编芮晓武 978-7-5201-5891-6 R199
邺下风流与竹林风度 胡大雷著 978-7-5201-5658-5 I206
中国少数民族史诗研究的反思与建构 冯文开著 978-7-5201-5535-9 I207
人在棘闱 张延昭著 978-7-5201-5652-3 D691
李尤研究 彭春艳著 978-7-5201-5530-4 K825
近代以来中国“大众”话语的生成与流变 罗崇宏著 978-7-5201-5657-8 G206
中国现代出版评论研究 曾建辉著 978-7-5201-5650-9 G236
社会保险经办管理与服务 林毓铭著 978-7-5201-5630-1 F842
地域·民族·文学 马志英著 978-7-5097-8112-8 I207
中国未来媒体研究报告 主编林小勇 978-7-5201-5880-0 G219
身体·历史·都市·民族 邱慧婷著 978-7-5201-5742-1 I207
哲学与时代 袁祖社主编 978-7-5201-5239-6 B0
岭南哲学概论 李权时主编 978-7-5201-5347-8 B2
中国公共关系发展报告 柳斌杰主编 978-7-5201-5851-0 C912
数字边际人 袁潇著 978-7-5201-5820-6 D422
中国边疆发展报告 邢广程主编 978-7-5201-5881-7 F127
A股上市公司可持续发展价值评估报告 马蔚华主编 978-7-5201-5865-7 F279
徽学 周晓光主编 978-7-5201-4841-2 K295
中国网络评论发展报告 主编赵曙光 978-7-5201-5823-7 G206
地区国别史研究 朱明主编 978-7-5201-5906-7 K107
中国教育财政家庭调查报告 魏易主编 978-7-5201-5468-0 G526
海宇混一 罗海燕著 978-7-5201-3598-6 I209
金元之际儒学的传承及思想特点 常大群著 978-7-5201-0939-0 B222
韩国社会质量 (韩)李在烈等著 978-7-5201-4892-4 D731
俄国朝鲜移民政策研究 南慧英著 978-7-5201-5350-8 D751
汉语国际教育文献总目 主编常耀华...[等] 978-7-5201-5507-6 Z88:H
中国第三部门研究 徐家良主编 978-7-5201-5904-3 C912
创新驱动 闫俊周著 978-7-5201-5538-0 F269
中国广告教育四十年 宋红梅著 978-7-5201-5426-0 F713
欧元国际化对欧债危机的影响及对中国的启示 王凡一著 978-7-5201-5639-4 F835
抵抗死亡 刘巨文著 978-7-5201-5651-6 I561
史地 主编张生 978-7-5201-5900-5 K928
1939:中国士人的知与行 陈旋波著 978-7-5201-5703-2 D693
基于产业共生的园区循环经济发展模式研究 王元亮著 978-7-5201-5822-0 F264
制造业与高技术服务业融合发展研究 袁金星著 978-7-5201-5827-5 F426
秘密会议 (英)罗伯特·哈里斯作品 978-7-5201-5665-3 I561
前“车”之鉴 赵英著 978-7-5201-4950-1 F426
张北高原历史文化研究文萃 尹自先主编 978-7-5201-5162-7 K292-53
胡适、罗尔纲和他们的朋友 郭存孝著 978-7-108-06493-6 K825
半生书缘 (美)李黎著 978-7-108-06533-9 I712
芳草天涯 李黎 978-7-108-06505-6 I712
从土地到餐桌的变革 石嫣著 978-7-108-06714-2 F30
七缀集 钱锺书著 978-7-108-06596-4 I207
传媒时代的文学重生 杨早著 978-7-108-06618-3 I206
粉黛罗绮 陈芳...[等]著 978-7-108-06653-4 TS941
新中国周边外交史研究 石源华等著 978-7-5012-6120-8 D829
新时期上海合作组织 主编戚振宏 978-7-5012-5160-5 D814
米尔济约耶夫总统 李自国主编 978-7-5012-6119-2 K833
大清皇陵旧影 徐广源著 978-7-5012-5891-8 K928
国际海底资源分配制度变革及其影响研究 王金强著 978-7-5012-6072-0 P744
全球治理引论 王明国著 978-7-5012-6131-4 D5
紫魂金魄 冯逸明主编 978-7-5012-6113-0 G841
乌克兰生活纪实 刘娴著 978-7-5012-6069-0 I267
日本浮光 李丁行摄 978-7-5411-5279-5 I267
中日东海大陆架划界国际法问题研究 孙传香著 978-7-307-20895-7 D993
我国高校智库参与决策咨询的制度设计研究 汪锋著 978-7-307-21035-6 G649
海上共同开发管理模式法律问题研究 邓妮雅著 978-7-307-20945-9 D993
语言活动理论与设计实例 吉晖著 978-7-307-21268-8 H195
体检报告专业解读及指导 主编高学祯...[等] 978-7-307-21207-7 R194
汉语词汇语法修辞历时变迁考论 卢烈红著 978-7-307-20803-2 H13
授权型领导研究 李绍龙著 978-7-307-21205-3 C933
“一带一路”与文化及会计国际话语权 刘家松著 978-7-307-21200-8 F233
新黑人社区的建构 刘晓燕著 978-7-307-20310-5 I712
康养产业集群发展 主编郭金来 978-7-307-21312-8 F726
湖北省新能源汽车战略和政策绩效评价及完善研究 吴文劲著 978-7-307-19814-2 F426
水面无人艇的体系结构与运动控制 文元桥...[等]编著 978-7-5629-6092-8 U674
发电企业成本核算研究 胡文杰著 978-7-5629-6244-1 F426
超声波清洗技术 王振华编著 978-7-5629-6091-1 TB4
非圆齿轮传动设计、制造与检测 华林著 978-7-5629-6129-1 TH132
新型太阳燃料光催化材料 余家国等著 978-7-5629-6093-5 TN304
基于民族文化认同感的汉语教育研究 覃淑华编著 978-7-5143-8077-4 H195
灵魂在场 王红旗著 978-7-5143-8162-7 I106
精准扶贫调查报告 韩桥生主编 978-7-5143-8076-7 F323
午休时间的海 江红霞著 978-7-5143-8179-5 I227
追寻石油工业中国梦 《追寻石油工业中国梦》编写组编 978-7-5166-4927-5 F426
中国陶瓷艺术鉴赏与纹饰装饰 崔彬著 978-7-5166-4647-2 J527
中国传统音乐的类型与发展研究 王东涛著 978-7-5166-4676-2 J605
园林景观设计摭谈 李琰著 978-7-5166-4755-4 TU986
中国传统壁画发展脉络研究 邢雯雯著 978-7-5166-4639-7 J209
清代中央政府与蒙古藩部周边传播考 刘源著 978-7-5166-4731-8 G219
中国流行音乐发展及演唱风格研究 袁文著 978-7-5166-4675-5 J605
彼一如我 武静怡著 978-7-5166-4688-5 I217
21世纪战争论 (英)克里斯托弗·科克尔著 978-7-5166-4832-2 E8
战争狂想者 (美)沙龙·温伯格著 978-7-5166-4621-2 D771
神医帝妃 阿彩著 978-7-5104-6780-6 I247
我和我的新疆朋友 陈锐军著 978-7-5104-6973-2 I251
庐中吟 季永琪著 978-7-222-18406-0 I227
极边第一城 黄玲著 978-7-222-18687-3 I267
清·椿 逝水兰钧著 978-7-222-18680-4 I227
跨越 张晖著 978-7-222-18643-9 D616
醒来的西隆山 哥布著 978-7-222-18994-2 I227
达布的金山 李学智著 978-7-222-18870-9 I247
生态环境保护文件选编 生态环境部办公厅编 978-7-5111-4142-2 X-012
环境经济政策研究 生态环境部环境与经济政策研究中心编著 978-7-5111-4148-4 X196
